Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2023-12-25,0.1168,0.1425,0.1156,0.1366,151601.995,2023-12-31 23:59:59.999,20071.3137003,133968,74013.827,9757.8372489,0
2024-01-01,0.1366,0.1458,0.13,0.1362,82483.849,2024-01-07 23:59:59.999,11413.6416391,87642,40538.949,5606.1250457,0
2024-01-08,0.136,0.1367,0.1138,0.1211,90017.182,2024-01-14 23:59:59.999,11038.2788686,80601,41967.655,5145.2005554,0
2024-01-15,0.1211,0.1303,0.1208,0.1298,70305.752,2024-01-21 23:59:59.999,8788.5025304,67026,30347.834,3793.1749883,0
2024-01-22,0.1298,0.1357,0.1279,0.1353,66063.098,2024-01-28 23:59:59.999,8773.9622324,57349,28666.471,3806.0512004,0
2024-01-29,0.1353,0.1375,0.1297,0.1331,37697.285,2024-02-04 23:59:59.999,5007.4841955,35199,21413.319,2853.4643499,0
2024-02-05,0.1331,0.1339,0.1258,0.1279,63333.773,2024-02-11 23:59:59.999,8197.8969011,51898,31341.759,4051.7740625,0
2024-02-12,0.128,0.1303,0.1189,0.1214,63502.849,2024-02-18 23:59:59.999,7945.4004179,64176,28701.227,3598.2641084,0
2024-02-19,0.1214,0.1316,0.1174,0.1248,82565.666,2024-02-25 23:59:59.999,10323.4048621,88112,39847.501,4998.3359204,0
2024-02-26,0.1249,0.1292,0.1166,0.1188,99151.04,2024-03-03 23:59:59.999,12077.425842,94268,41661.41,5088.3359331,0
2024-03-04,0.1189,0.137,0.1064,0.1363,195450.063,2024-03-10 23:59:59.999,23369.1112615,175933,109986.658,13153.0856219,0
2024-03-11,0.1364,0.174,0.1273,0.1568,234174.503,2024-03-17 23:59:59.999,34856.1660919,245080,114589.807,17274.974721,0
2024-03-18,0.1568,0.169,0.1533,0.1644,114452.224,2024-03-24 23:59:59.999,18333.8306696,137372,49234.624,7895.8799499,0
2024-03-25,0.1644,0.179,0.1596,0.1665,102488.107,2024-03-31 23:59:59.999,17245.4194697,152988,61442.915,10354.8575243,0
2024-04-01,0.1665,0.1788,0.1634,0.1691,97355.212,2024-04-07 23:59:59.999,16721.9074094,166482,46785.89,8073.2709781,0
2024-04-08,0.169,0.187,0.1563,0.1794,145888.634,2024-04-14 23:59:59.999,25335.4528545,256529,76735.636,13449.6170014,0
2024-04-15,0.1796,0.1857,0.1726,0.1841,64591.536,2024-04-21 23:59:59.999,11589.073192,149275,24383.761,4370.9947575,0
2024-04-22,0.1842,0.1976,0.1802,0.1839,90825.833,2024-04-28 23:59:59.999,17171.8025915,188331,49916.845,9436.7943216,0
2024-04-29,0.1839,0.1946,0.1828,0.1887,45024.625,2024-05-05 23:59:59.999,8470.455112,101908,24664.891,4640.272081,0
2024-05-06,0.1887,0.2046,0.1863,0.2031,33033.359,2024-05-12 23:59:59.999,6498.7237999,85554,17224.911,3390.0156458,0
2024-05-13,0.2031,0.205,0.184,0.1871,42870.899,2024-05-19 23:59:59.999,8295.2799706,80987,17094.261,3311.7306985,0
2024-05-20,0.187,0.1873,0.1541,0.1568,100660.922,2024-05-26 23:59:59.999,16514.5249558,153024,45207.759,7386.8247881,0
2024-05-27,0.1568,0.1607,0.1528,0.1594,25849.91,2024-06-02 23:59:59.999,4048.0528147,47527,13029.381,2042.5926762,0
2024-06-03,0.1595,0.1878,0.1594,0.1815,109932.385,2024-06-09 23:59:59.999,19565.7149288,152149,55819.525,9970.5671397,0
2024-06-10,0.1815,0.1825,0.1673,0.1684,44438.035,2024-06-16 23:59:59.999,7673.0442235,75155,19744.927,3412.777613,0
2024-06-17,0.1685,0.1743,0.1651,0.1688,30985.748,2024-06-23 23:59:59.999,5244.5231143,58186,12976.392,2196.3997694,0
2024-06-24,0.1688,0.1722,0.1662,0.1694,19075.678,2024-06-30 23:59:59.999,3228.6925693,45471,10500.357,1779.7542917,0
2024-07-01,0.1693,0.1726,0.1596,0.1673,48316.087,2024-07-07 23:59:59.999,8018.9851311,97179,25109.26,4169.6354768,0
2024-07-08,0.1675,0.1747,0.1658,0.1679,20519.845,2024-07-14 23:59:59.999,3476.8667624,54577,10683.864,1813.0635582,0
2024-07-15,0.168,0.1719,0.1654,0.1703,27382.218,2024-07-21 23:59:59.999,4605.6339444,78966,11569.093,1950.8417918,0
2024-07-22,0.1704,0.182,0.1659,0.1784,37858.682,2024-07-28 23:59:59.999,6607.7969328,119080,23920.862,4193.132245,0
2024-07-29,0.1785,0.1853,0.1708,0.1846,54820.664,2024-08-04 23:59:59.999,9781.1567958,237309,27080.252,4864.5492719,0
2024-08-05,0.1846,0.2033,0.1841,0.1969,82063.766,2024-08-11 23:59:59.999,15920.4883722,407829,54632.717,10620.8178114,0
2024-08-12,0.1971,0.2094,0.1896,0.2035,51235.734,2024-08-18 23:59:59.999,10251.610528,265487,27513.821,5557.2337369,0
2024-08-19,0.2033,0.2264,0.2021,0.209,40448.053,2024-08-25 23:59:59.999,8673.6086556,162029,20079.266,4304.5216505,0
2024-08-26,0.2089,0.2203,0.2041,0.2112,46184.818,2024-09-01 23:59:59.999,9814.3883016,70691,24036.793,5120.1911192,0
2024-09-02,0.2111,0.2204,0.205,0.2189,62335.251,2024-09-08 23:59:59.999,13306.2304942,84645,35495.884,7605.6894406,0
2024-09-09,0.219,0.2426,0.2163,0.2388,49346.962,2024-09-15 23:59:59.999,11241.6327323,91945,28703.722,6545.4970252,0
2024-09-16,0.239,0.2422,0.2209,0.2281,29661.12,2024-09-22 23:59:59.999,6841.1353087,54911,14910.061,3450.7771272,0
2024-09-23,0.2279,0.2328,0.2219,0.2242,35445.071,2024-09-29 23:59:59.999,8049.324728,66551,19572.877,4451.5799629,0
2024-09-30,0.2242,0.2344,0.2178,0.2338,32341.996,2024-10-06 23:59:59.999,7326.67727,47166,17144.495,3899.4614127,0
2024-10-07,0.2338,0.2421,0.2287,0.2319,44025.101,2024-10-13 23:59:59.999,10363.9795088,61436,20197.219,4763.9943115,0
2024-10-14,0.2319,0.2334,0.2197,0.2206,27629.952,2024-10-20 23:59:59.999,6241.5057061,62643,10857.088,2456.7291794,0
2024-10-21,0.2206,0.2386,0.2196,0.235,43834.572,2024-10-27 23:59:59.999,10151.0229801,92650,23900.358,5529.6599081,0
2024-10-28,0.235,0.2383,0.2202,0.227,56074.355,2024-11-03 23:59:59.999,12814.576712,85986,23601.847,5378.4466093,0
2024-11-04,0.2269,0.233,0.1955,0.1969,89808.427,2024-11-10 23:59:59.999,19241.5753473,146108,33981.616,7355.2209211,0
2024-11-11,0.1971,0.2058,0.188,0.2011,94923.418,2024-11-17 23:59:59.999,18722.2941463,157273,39003.236,7678.4996927,0
2024-11-18,0.2013,0.2022,0.1842,0.1961,91719.42,2024-11-24 23:59:59.999,17820.3299217,226196,31290.587,6082.0022039,0
2024-11-25,0.1963,0.1976,0.1747,0.1769,118750.085,2024-12-01 23:59:59.999,21733.5090076,136085,59979.501,10978.2675521,0
2024-12-02,0.1768,0.2128,0.1754,0.1854,157816.829,2024-12-08 23:59:59.999,30107.1528487,191207,75983.733,14609.2958652,0
2024-12-09,0.1854,0.1894,0.1796,0.1815,78020.116,2024-12-15 23:59:59.999,14387.1623245,115707,37758.398,6961.2345519,0
2024-12-16,0.1816,0.2015,0.1776,0.198,92904.001,2024-12-22 23:59:59.999,17718.3007942,129216,52017.637,9970.0366352,0
2024-12-23,0.198,0.2155,0.1974,0.2071,44897.136,2024-12-29 23:59:59.999,9197.4944309,84559,25451.332,5214.5370869,0
2024-12-30,0.207,0.2129,0.1937,0.1951,25372.643,2025-01-05 23:59:59.999,5153.4704467,54360,11518.117,2348.1539122,0
2025-01-06,0.195,0.2154,0.1933,0.2123,35574.658,2025-01-12 23:59:59.999,7282.1148168,71598,19801.903,4082.3701248,0
2025-01-13,0.2122,0.2255,0.2036,0.2124,38971.497,2025-01-19 23:59:59.999,8305.2252798,103036,18377.47,3926.8110778,0
2025-01-20,0.2124,0.2163,0.2013,0.2065,28578.168,2025-01-26 23:59:59.999,5939.3096831,77320,13283.419,2771.5342089,0
2025-01-27,0.2065,0.2186,0.2005,0.2152,33440.689,2025-02-02 23:59:59.999,7012.7980861,87398,18048.833,3818.9292433,0
2025-02-03,0.2153,0.2435,0.2028,0.2344,138895.428,2025-02-09 23:59:59.999,30913.9378558,282654,71874.528,16027.862454,0
2025-02-10,0.2344,0.2752,0.2265,0.253,113686.198,2025-02-16 23:59:59.999,28625.97105575,215189,62632.229,15900.66742805,0
2025-02-17,0.253,0.2543,0.2308,0.2334,50364.142,2025-02-23 23:59:59.999,12121.5520525,113312,26768.848,6458.5266803,0
2025-02-24,0.2333,0.2799,0.2317,0.2478,74983.57,2025-03-02 23:59:59.999,19597.77293481,155979,41099.244,10761.48793781,0
2025-03-03,0.2477,0.2803,0.2474,0.2746,57185.539,2025-03-09 23:59:59.999,15485.5599616,144074,37170.404,10101.6144907,0
2025-03-10,0.2746,0.3218,0.2654,0.319,75183.226,2025-03-16 23:59:59.999,22169.14399793,210105,50866.334,14943.09338353,0
2025-03-17,0.3191,0.3391,0.2966,0.3111,41408.106,2025-03-23 23:59:59.999,13297.40984468,163951,18304.248,5882.04583568,0
2025-03-24,0.311,0.3375,0.2988,0.3333,33432.089,2025-03-30 23:59:59.999,10623.8268076,112776,16696.093,5313.5991737,0
2025-03-31,0.3331,0.3553,0.312,0.3515,81172.431,2025-04-06 23:59:59.999,26758.82860959,177403,45931.833,15193.68494249,0
2025-04-07,0.3515,0.3858,0.346,0.3657,60117.841,2025-04-13 23:59:59.999,21950.13037585,202172,32651.068,11934.67652135,0
2025-04-14,0.3658,0.3764,0.3503,0.3735,40062.573,2025-04-20 23:59:59.999,14730.0464142,110580,20161.84,7422.1761437,0
2025-04-21,0.3734,0.3867,0.3266,0.3368,52785.652,2025-04-27 23:59:59.999,18630.4920446,149142,29630.22,10456.1435037,0
2025-04-28,0.337,0.3432,0.3199,0.3241,17373.59,2025-05-04 23:59:59.999,5737.6873323,59494,8897.36,2938.0410526,0
2025-05-05,0.3241,0.3395,0.254,0.2589,40532.6,2025-05-11 23:59:59.999,11713.4362455,107902,15795.33,4629.7270339,0
2025-05-12,0.259,0.2735,0.2441,0.2608,27388.291,2025-05-18 23:59:59.999,7071.1831061,68709,9399.198,2420.7771848,0
2025-05-19,0.261,0.2713,0.2523,0.2622,45138.35,2025-05-25 23:59:59.999,11750.9865047,85853,29446.28,7680.9877854,0
2025-05-26,0.2624,0.2659,0.2475,0.2603,19057.76,2025-06-01 23:59:59.999,4925.6922835,49881,9553.78,2478.5220967,0
2025-06-02,0.2606,0.2642,0.25,0.2598,25972.283,2025-06-08 23:59:59.999,6701.5978491,54927,16671.493,4319.2904306,0
2025-06-09,0.2599,0.2625,0.2327,0.2545,54657.161,2025-06-15 23:59:59.999,13549.012102,90794,34312.537,8527.3989391,0
2025-06-16,0.2544,0.2859,0.2459,0.2765,31850.538,2025-06-22 23:59:59.999,8449.0318283,74045,22499.837,5995.2106833,0
2025-06-23,0.2767,0.2821,0.258,0.2618,11868.722,2025-06-29 23:59:59.999,3158.9826709,39018,5114.109,1364.5571751,0
2025-06-30,0.2616,0.2712,0.2517,0.258,9675.146,2025-07-06 23:59:59.999,2519.4843122,29017,4344.185,1133.9338066,0
2025-07-07,0.258,0.2613,0.2272,0.2329,16366.202,2025-07-13 23:59:59.999,3947.5053403,41214,5660.525,1374.0546108,0
2025-07-14,0.2329,0.2331,0.1977,0.2016,35829.505,2025-07-20 23:59:59.999,7581.3321109,66694,10968.317,2344.3770536,0
2025-07-21,0.2016,0.2205,0.2003,0.2179,25624.426,2025-07-27 23:59:59.999,5397.9897029,60254,13046.098,2748.3599016,0
2025-07-28,0.218,0.2214,0.2062,0.2149,27057.114,2025-08-03 23:59:59.999,5811.4112642,62262,10941.188,2346.8009761,0
2025-08-04,0.2148,0.2149,0.1859,0.1898,25194.02,2025-08-10 23:59:59.999,5012.3137976,53262,10321.447,2062.0733645,0
2025-08-11,0.1899,0.1931,0.1769,0.1915,38917.975,2025-08-17 23:59:59.999,7158.8125721,78652,13678.519,2536.114163,0
2025-08-18,0.1912,0.204,0.1774,0.1833,59219.84,2025-08-24 23:59:59.999,11560.6995908,128713,20834.028,4075.0812212,0
2025-08-25,0.1834,0.2005,0.1829,0.1953,24524.465,2025-08-31 23:59:59.999,4695.8825818,62825,11968.129,2290.2574354,0
2025-09-01,0.1955,0.205,0.1902,0.2044,21928.087,2025-09-07 23:59:59.999,4322.4787439,58938,10204.964,2016.3368225,0
2025-09-08,0.2044,0.207,0.1947,0.2013,33450.607,2025-09-14 23:59:59.999,6801.644228,62462,11182.703,2266.4980259,0
2025-09-15,0.2012,0.2435,0.1999,0.2357,46729.002,2025-09-21 23:59:59.999,10189.944922,96929,20131.558,4395.7506339,0
2025-09-22,0.2357,0.2511,0.2335,0.2397,47896.018,2025-09-28 23:59:59.999,11602.5675314,120386,24290.553,5908.6770012,0
2025-09-29,0.2397,0.2637,0.2343,0.2585,39716.951,2025-10-05 23:59:59.999,9787.3165003,105364,22486.749,5549.6669836,0
2025-10-06,0.2586,0.3283,0.2489,0.3138,123923.15,2025-10-12 23:59:59.999,35898.297049,472181,59291.773,17239.1451174,0
2025-10-13,0.3136,0.3286,0.2732,0.2786,66114.777,2025-10-19 23:59:59.999,19469.296317,194964,27743.434,8197.8616871,0
2025-10-20,0.2786,0.299,0.2675,0.2737,34874.508,2025-10-26 23:59:59.999,9798.4026267,119302,17787.224,5003.4524082,0
2025-10-27,0.2737,0.2891,0.2706,0.2772,31938.343,2025-11-02 23:59:59.999,8922.5136321,115162,15145.128,4245.9695185,0
