Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2023-12-25,0.05266,0.05622,0.05208,0.05397,247344.3868,2023-12-31 23:59:59.999,13416.4673338,443764,125606.4698,6814.44873884,0
2024-01-01,0.05398,0.0542,0.05041,0.05058,267003.6852,2024-01-07 23:59:59.999,13885.54482147,509676,133178.8762,6924.83533912,0
2024-01-08,0.05057,0.06117,0.0479,0.05925,676554.3205,2024-01-14 23:59:59.999,37049.90287172,1380884,333052.1808,18288.02727014,0
2024-01-15,0.05926,0.06053,0.05876,0.05908,201478.8025,2024-01-21 23:59:59.999,11993.14273346,558743,104495.0929,6221.88399269,0
2024-01-22,0.05908,0.05928,0.05354,0.05371,237817.8919,2024-01-28 23:59:59.999,13363.07232918,483234,105482.8328,5936.55787102,0
2024-01-29,0.0537,0.0549,0.05305,0.05378,178538.7354,2024-02-04 23:59:59.999,9598.86693199,334127,79627.1144,4282.57019056,0
2024-02-05,0.05377,0.0559,0.05186,0.05192,210718.1397,2024-02-11 23:59:59.999,11326.10105998,487065,101751.6349,5469.98722668,0
2024-02-12,0.05191,0.05535,0.05115,0.05526,263693.9582,2024-02-18 23:59:59.999,14115.40429482,601950,130347.1871,6984.5581224,0
2024-02-19,0.05526,0.06019,0.05494,0.06018,265451.6281,2024-02-25 23:59:59.999,15232.46828629,647817,130481.0226,7494.06878082,0
2024-02-26,0.06018,0.0605,0.05392,0.05527,395918.3308,2024-03-03 23:59:59.999,22233.82619638,926569,185094.3391,10389.6281575,0
2024-03-04,0.05527,0.05894,0.0529,0.05624,498909.0057,2024-03-10 23:59:59.999,27972.59528819,1297976,235772.3104,13243.64348511,0
2024-03-11,0.05624,0.05669,0.0528,0.05329,366889.0802,2024-03-17 23:59:59.999,20071.48822651,1167881,177352.8925,9707.19582538,0
2024-03-18,0.05329,0.0535,0.05021,0.05139,413496.4855,2024-03-24 23:59:59.999,21480.39073081,1207895,189022.8745,9826.72506236,0
2024-03-25,0.0514,0.0518,0.04996,0.05113,246129.7502,2024-03-31 23:59:59.999,12535.53113264,828389,111526.8993,5680.82388929,0
2024-04-01,0.05114,0.05123,0.04815,0.04981,264882.1066,2024-04-07 23:59:59.999,13162.37872513,756822,119935.0915,5963.28639379,0
